user_id,segment_id,segment_name
U16627,S004,MidAOV_HighEng_LowProf
U16628,S006,LowAOV_LowEng_ELSE
U16629,S001,HighAOV_ELSE_ELSE
U16630,S003,MidAOV_LowEng_ELSE
U16631,S001,HighAOV_ELSE_ELSE
U16632,S006,LowAOV_LowEng_ELSE
U16633,S001,HighAOV_ELSE_ELSE
U16634,S006,LowAOV_LowEng_ELSE
U16635,S001,HighAOV_ELSE_ELSE
U16636,S002,MidAOV_HighEng_HighProf
U16637,S006,LowAOV_LowEng_ELSE
U16638,S003,MidAOV_LowEng_ELSE
U16639,S003,MidAOV_LowEng_ELSE
U16640,S001,HighAOV_ELSE_ELSE
U16641,S001,HighAOV_ELSE_ELSE
U16642,S005,LowAOV_HighEng_ELSE
U16643,S003,MidAOV_LowEng_ELSE
U16644,S001,HighAOV_ELSE_ELSE
U16645,S001,HighAOV_ELSE_ELSE
U16646,S003,MidAOV_LowEng_ELSE
U16647,S001,HighAOV_ELSE_ELSE
U16648,S003,MidAOV_LowEng_ELSE
U16649,S001,HighAOV_ELSE_ELSE
U16650,S006,LowAOV_LowEng_ELSE
U16651,S005,LowAOV_HighEng_ELSE
U16652,S001,HighAOV_ELSE_ELSE
U16653,S006,LowAOV_LowEng_ELSE
U16654,S006,LowAOV_LowEng_ELSE
U16655,S003,MidAOV_LowEng_ELSE
U16656,S002,MidAOV_HighEng_HighProf
U16657,S001,HighAOV_ELSE_ELSE
U16658,S001,HighAOV_ELSE_ELSE
U16659,S003,MidAOV_LowEng_ELSE
U16660,S005,LowAOV_HighEng_ELSE
U16661,S006,LowAOV_LowEng_ELSE
U16662,S003,MidAOV_LowEng_ELSE
U16663,S001,HighAOV_ELSE_ELSE
U16664,S006,LowAOV_LowEng_ELSE
U16665,S005,LowAOV_HighEng_ELSE
U16666,S006,LowAOV_LowEng_ELSE
U16667,S004,MidAOV_HighEng_LowProf
U16668,S006,LowAOV_LowEng_ELSE
U16669,S001,HighAOV_ELSE_ELSE
U16670,S006,LowAOV_LowEng_ELSE
U16671,S001,HighAOV_ELSE_ELSE
U16672,S002,MidAOV_HighEng_HighProf
U16673,S001,HighAOV_ELSE_ELSE
U16674,S006,LowAOV_LowEng_ELSE
U16675,S003,MidAOV_LowEng_ELSE
U16676,S006,LowAOV_LowEng_ELSE
U16677,S005,LowAOV_HighEng_ELSE
U16678,S001,HighAOV_ELSE_ELSE
U16679,S006,LowAOV_LowEng_ELSE
U16680,S003,MidAOV_LowEng_ELSE
U16681,S006,LowAOV_LowEng_ELSE
U16682,S004,MidAOV_HighEng_LowProf
U16683,S003,MidAOV_LowEng_ELSE
U16684,S004,MidAOV_HighEng_LowProf
U16685,S001,HighAOV_ELSE_ELSE
U16686,S005,LowAOV_HighEng_ELSE
U16687,S004,MidAOV_HighEng_LowProf
U16688,S001,HighAOV_ELSE_ELSE
U16689,S001,HighAOV_ELSE_ELSE
U16690,S006,LowAOV_LowEng_ELSE
U16691,S001,HighAOV_ELSE_ELSE
U16692,S006,LowAOV_LowEng_ELSE
U16693,S004,MidAOV_HighEng_LowProf
U16694,S005,LowAOV_HighEng_ELSE
U16695,S001,HighAOV_ELSE_ELSE
U16696,S004,MidAOV_HighEng_LowProf
U16697,S006,LowAOV_LowEng_ELSE
U16698,S006,LowAOV_LowEng_ELSE
U16699,S001,HighAOV_ELSE_ELSE
U16700,S005,LowAOV_HighEng_ELSE
U16701,S003,MidAOV_LowEng_ELSE
U16702,S001,HighAOV_ELSE_ELSE
U16703,S003,MidAOV_LowEng_ELSE
U16704,S003,MidAOV_LowEng_ELSE
U16705,S006,LowAOV_LowEng_ELSE
U16706,S004,MidAOV_HighEng_LowProf
U16707,S003,MidAOV_LowEng_ELSE
U16708,S006,LowAOV_LowEng_ELSE
U16709,S003,MidAOV_LowEng_ELSE
U16710,S005,LowAOV_HighEng_ELSE
U16711,S004,MidAOV_HighEng_LowProf
U16712,S005,LowAOV_HighEng_ELSE
U16713,S001,HighAOV_ELSE_ELSE
U16714,S001,HighAOV_ELSE_ELSE
U16715,S006,LowAOV_LowEng_ELSE
U16716,S002,MidAOV_HighEng_HighProf
U16717,S003,MidAOV_LowEng_ELSE
U16718,S006,LowAOV_LowEng_ELSE
U16719,S004,MidAOV_HighEng_LowProf
U16720,S002,MidAOV_HighEng_HighProf
U16721,S003,MidAOV_LowEng_ELSE
U16722,S002,MidAOV_HighEng_HighProf
U16723,S004,MidAOV_HighEng_LowProf
U16724,S003,MidAOV_LowEng_ELSE
U16725,S003,MidAOV_LowEng_ELSE
U16726,S004,MidAOV_HighEng_LowProf
U16727,S003,MidAOV_LowEng_ELSE
U16728,S006,LowAOV_LowEng_ELSE
U16729,S002,MidAOV_HighEng_HighProf
U16730,S004,MidAOV_HighEng_LowProf
U16731,S001,HighAOV_ELSE_ELSE
U16732,S005,LowAOV_HighEng_ELSE
U16733,S005,LowAOV_HighEng_ELSE
U16734,S001,HighAOV_ELSE_ELSE
U16735,S001,HighAOV_ELSE_ELSE
U16736,S003,MidAOV_LowEng_ELSE
U16737,S006,LowAOV_LowEng_ELSE
U16738,S005,LowAOV_HighEng_ELSE
U16739,S006,LowAOV_LowEng_ELSE
U16740,S002,MidAOV_HighEng_HighProf
U16741,S001,HighAOV_ELSE_ELSE
U16742,S003,MidAOV_LowEng_ELSE
U16743,S004,MidAOV_HighEng_LowProf
U16744,S001,HighAOV_ELSE_ELSE
U16745,S004,MidAOV_HighEng_LowProf
U16746,S001,HighAOV_ELSE_ELSE
U16747,S003,MidAOV_LowEng_ELSE
U16748,S006,LowAOV_LowEng_ELSE
U16749,S001,HighAOV_ELSE_ELSE
U16750,S004,MidAOV_HighEng_LowProf
U16751,S003,MidAOV_LowEng_ELSE
U16752,S003,MidAOV_LowEng_ELSE
U16753,S003,MidAOV_LowEng_ELSE
U16754,S005,LowAOV_HighEng_ELSE
U16755,S002,MidAOV_HighEng_HighProf
U16756,S005,LowAOV_HighEng_ELSE
U16757,S006,LowAOV_LowEng_ELSE
U16758,S003,MidAOV_LowEng_ELSE
U16759,S004,MidAOV_HighEng_LowProf
U16760,S006,LowAOV_LowEng_ELSE
U16761,S001,HighAOV_ELSE_ELSE
U16762,S005,LowAOV_HighEng_ELSE
U16763,S005,LowAOV_HighEng_ELSE
U16764,S006,LowAOV_LowEng_ELSE
U16765,S002,MidAOV_HighEng_HighProf
U16766,S001,HighAOV_ELSE_ELSE
U16767,S003,MidAOV_LowEng_ELSE
U16768,S003,MidAOV_LowEng_ELSE
U16769,S003,MidAOV_LowEng_ELSE
U16770,S002,MidAOV_HighEng_HighProf
U16771,S002,MidAOV_HighEng_HighProf
U16772,S002,MidAOV_HighEng_HighProf
U16773,S004,MidAOV_HighEng_LowProf
U16774,S006,LowAOV_LowEng_ELSE
U16775,S003,MidAOV_LowEng_ELSE
U16776,S004,MidAOV_HighEng_LowProf
U16777,S003,MidAOV_LowEng_ELSE
U16778,S002,MidAOV_HighEng_HighProf
U16779,S001,HighAOV_ELSE_ELSE
U16780,S006,LowAOV_LowEng_ELSE
U16781,S003,MidAOV_LowEng_ELSE
U16782,S001,HighAOV_ELSE_ELSE
U16783,S002,MidAOV_HighEng_HighProf
U16784,S003,MidAOV_LowEng_ELSE
U16785,S002,MidAOV_HighEng_HighProf
U16786,S006,LowAOV_LowEng_ELSE
U16787,S006,LowAOV_LowEng_ELSE
U16788,S002,MidAOV_HighEng_HighProf
U16789,S001,HighAOV_ELSE_ELSE
U16790,S002,MidAOV_HighEng_HighProf
U16791,S004,MidAOV_HighEng_LowProf
U16792,S006,LowAOV_LowEng_ELSE
U16793,S006,LowAOV_LowEng_ELSE
U16794,S004,MidAOV_HighEng_LowProf
U16795,S003,MidAOV_LowEng_ELSE
U16796,S003,MidAOV_LowEng_ELSE
U16797,S001,HighAOV_ELSE_ELSE
U16798,S004,MidAOV_HighEng_LowProf
U16799,S006,LowAOV_LowEng_ELSE
U16800,S006,LowAOV_LowEng_ELSE
U16801,S003,MidAOV_LowEng_ELSE
U16802,S006,LowAOV_LowEng_ELSE
U16803,S002,MidAOV_HighEng_HighProf
U16804,S004,MidAOV_HighEng_LowProf
U16805,S004,MidAOV_HighEng_LowProf
U16806,S003,MidAOV_LowEng_ELSE
U16807,S002,MidAOV_HighEng_HighProf
U16808,S001,HighAOV_ELSE_ELSE
U16809,S005,LowAOV_HighEng_ELSE
U16810,S004,MidAOV_HighEng_LowProf
U16811,S005,LowAOV_HighEng_ELSE
U16812,S001,HighAOV_ELSE_ELSE
U16813,S006,LowAOV_LowEng_ELSE
U16814,S002,MidAOV_HighEng_HighProf
U16815,S002,MidAOV_HighEng_HighProf
U16816,S005,LowAOV_HighEng_ELSE
U16817,S001,HighAOV_ELSE_ELSE
